Time (s),Illuminance (lux),Timestamp,Condition
0.036,2.48,2026-01-12 02:01:51.336,Transition
0.136,2.48,2026-01-12 02:01:51.436,Transition
0.237,2.48,2026-01-12 02:01:51.537,Transition
0.336,2.48,2026-01-12 02:01:51.636,Transition
0.432,2.48,2026-01-12 02:01:51.732,Transition
0.536,2.48,2026-01-12 02:01:51.836,Transition
0.632,2.48,2026-01-12 02:01:51.932,Transition
0.736,2.54,2026-01-12 02:01:52.036,Transition
0.835,2.48,2026-01-12 02:01:52.135,Transition
0.935,2.48,2026-01-12 02:01:52.235,Transition
1.035,2.48,2026-01-12 02:01:52.335,Transition
1.135,2.48,2026-01-12 02:01:52.435,Transition
1.235,2.35,2026-01-12 02:01:52.535,Transition
1.335,2.35,2026-01-12 02:01:52.635,Transition
1.436,2.35,2026-01-12 02:01:52.736,Transition
1.535,2.35,2026-01-12 02:01:52.835,Transition
1.632,2.35,2026-01-12 02:01:52.932,Transition
1.732,2.35,2026-01-12 02:01:53.032,Transition
1.841,2.35,2026-01-12 02:01:53.141,Transition
1.941,2.35,2026-01-12 02:01:53.241,Transition
2.036,2.35,2026-01-12 02:01:53.336,Transition
2.139,2.35,2026-01-12 02:01:53.439,Transition
2.241,2.35,2026-01-12 02:01:53.541,Transition
2.333,2.35,2026-01-12 02:01:53.633,Transition
2.439,2.35,2026-01-12 02:01:53.739,Transition
2.539,2.35,2026-01-12 02:01:53.839,Transition
2.64,2.35,2026-01-12 02:01:53.940,Transition
2.74,2.35,2026-01-12 02:01:54.040,Transition
2.839,2.35,2026-01-12 02:01:54.139,Transition
2.941,2.35,2026-01-12 02:01:54.241,Transition
3.038,2.35,2026-01-12 02:01:54.338,Transition
3.139,2.35,2026-01-12 02:01:54.439,Transition
3.24,2.35,2026-01-12 02:01:54.540,Transition
3.341,2.48,2026-01-12 02:01:54.641,Transition
3.439,2.48,2026-01-12 02:01:54.739,Transition
3.54,2.48,2026-01-12 02:01:54.840,Transition
3.639,2.48,2026-01-12 02:01:54.939,Transition
3.739,2.48,2026-01-12 02:01:55.039,Transition
3.839,2.48,2026-01-12 02:01:55.139,Transition
3.937,2.48,2026-01-12 02:01:55.237,Transition
4.041,2.48,2026-01-12 02:01:55.341,Transition
4.137,2.35,2026-01-12 02:01:55.437,Transition
4.238,2.48,2026-01-12 02:01:55.538,Transition
4.339,2.48,2026-01-12 02:01:55.639,Transition
4.436,2.48,2026-01-12 02:01:55.736,Transition
4.538,2.48,2026-01-12 02:01:55.838,Transition
4.637,2.48,2026-01-12 02:01:55.937,Transition
4.741,2.48,2026-01-12 02:01:56.041,Transition
4.838,2.48,2026-01-12 02:01:56.138,Transition
4.939,2.48,2026-01-12 02:01:56.239,Transition
5.039,2.35,2026-01-12 02:01:56.339,Transition
